entry1	entry2	type
00071_73	00071_49	maplink
00071_73	00071_57	maplink
00071_73	00071_64	maplink
00071_73	00071_74	maplink
00071_73	00071_89	maplink
00071_73	00071_100	maplink
00071_195	00071_49	ECrel
00071_195	00071_57	ECrel
00071_195	00071_64	ECrel
00071_195	00071_74	ECrel
00071_195	00071_89	ECrel
00071_195	00071_100	ECrel
00071_48	00071_57	ECrel
00071_48	00071_64	ECrel
00071_48	00071_74	ECrel
00071_48	00071_89	ECrel
00071_48	00071_100	ECrel
00071_196	00071_102	ECrel
00071_196	00071_203	ECrel
00071_90	00071_197	ECrel
00071_197	00071_100	ECrel
00071_203	00071_200	ECrel
00071_200	00071_104	ECrel
00072_12	00072_15	ECrel
00072_12	00072_18	ECrel
00072_15	00072_18	ECrel
00072_11	00072_12	ECrel
00072_11	00072_12	ECrel
00072_12	00072_14	ECrel
00072_14	00072_18	ECrel
00072_11	00072_14	ECrel
00072_11	00072_14	ECrel
00072_11	00072_18	ECrel
00072_14	00072_17	maplink
00072_11	00072_17	maplink
00072_12	00072_17	maplink
00072_14	00072_10	maplink
00072_18	00072_16	maplink
00072_11	00072_16	maplink
00072_18	00072_10	maplink
00072_11	00072_10	maplink
00072_14	00072_16	maplink
00072_15	00072_19	maplink
00072_18	00072_19	maplink
00072_12	00072_19	maplink
00100_68	00100_70	ECrel
00100_70	00100_91	ECrel
00100_44	00100_72	ECrel
00100_67	00100_72	ECrel
00100_57	00100_58	ECrel
00100_56	00100_57	ECrel
00100_89	00100_97	ECrel
00100_89	00100_99	ECrel
00100_97	00100_99	ECrel
00100_90	00100_99	ECrel
00100_63	00100_90	ECrel
00100_90	00100_98	ECrel
00100_63	00100_98	ECrel
00100_92	00100_98	ECrel
00100_92	00100_100	ECrel
00100_45	00100_62	ECrel
00100_45	00100_61	ECrel
00100_48	00100_62	ECrel
00100_47	00100_48	ECrel
00100_48	00100_61	ECrel
00100_47	00100_61	ECrel
00100_46	00100_47	ECrel
00100_47	00100_60	ECrel
00100_46	00100_60	ECrel
00100_135	00100_133	ECrel
00100_56	00100_53	maplink
00100_46	00100_59	ECrel
00100_46	00100_127	ECrel
00100_46	00100_129	ECrel
00100_127	00100_59	ECrel
00100_129	00100_59	ECrel
00100_93	00100_94	maplink
00100_93	00100_129	maplink
00100_93	00100_127	maplink
00100_93	00100_46	maplink
00100_93	00100_59	maplink
00100_94	00100_129	maplink
00100_94	00100_127	maplink
00100_94	00100_46	maplink
00100_94	00100_59	maplink
00100_135	00100_142	ECrel
00100_133	00100_145	ECrel
00100_135	00100_145	ECrel
00100_127	00100_147	maplink
00100_129	00100_147	maplink
00100_59	00100_147	maplink
00100_46	00100_147	maplink
00100_94	00100_147	maplink
00100_147	00100_93	maplink
00100_149	00100_151	maplink
00100_152	00100_154	ECrel
00100_154	00100_89	ECrel
00120_47	00120_14	ECrel
00120_7	00120_87	ECrel
00120_65	00120_12	ECrel
00120_65	00120_13	ECrel
00120_16	00120_12	ECrel
00120_16	00120_13	ECrel
00120_7	00120_47	ECrel
00120_7	00120_49	ECrel
00120_7	00120_65	ECrel
00120_7	00120_96	maplink
00120_47	00120_49	ECrel
00120_47	00120_65	ECrel
00120_47	00120_96	maplink
00120_49	00120_65	ECrel
00120_49	00120_96	maplink
00120_65	00120_96	maplink
00120_66	00120_20	ECrel
00120_67	00120_20	ECrel
00120_13	00120_67	ECrel
00120_12	00120_67	ECrel
00120_49	00120_68	ECrel
00120_68	00120_86	ECrel
00120_102	00120_26	ECrel
00120_26	00120_28	ECrel
00120_64	00120_95	ECrel
00120_95	00120_33	ECrel
00120_33	00120_35	ECrel
00120_35	00120_50	ECrel
00120_52	00120_84	ECrel
00120_52	00120_79	ECrel
00120_52	00120_80	ECrel
00120_84	00120_79	ECrel
00120_79	00120_80	ECrel
00120_86	00120_102	ECrel
00120_68	00120_24	ECrel
00120_24	00120_40	ECrel
00120_40	00120_89	ECrel
00120_91	00120_88	ECrel
00120_88	00120_92	ECrel
00120_92	00120_93	ECrel
00120_93	00120_94	ECrel
00120_54	00120_71	ECrel
00120_54	00120_60	ECrel
00120_54	00120_61	ECrel
00120_71	00120_60	ECrel
00120_60	00120_61	ECrel
00120_106	00120_52	ECrel
00120_105	00120_54	ECrel
00120_14	00120_69	ECrel
00120_16	00120_107	ECrel
00120_107	00120_66	ECrel
